goal_id,user_id,goal_type,goal_priority,goal_horizon,target_amount,start_date,target_date,associated_jar,current_saved,completion_percent
198,71,saving,Medium,long,6134000000,2025-07-01,2028-11-12,EMERGENCY,2274467423,37.08
199,71,spending,Medium,short,5000000,2025-07-01,2025-07-31,HEALTH,1667507,33.35
200,72,saving,High,short,8085000,2025-07-01,2026-03-28,DREAM,1765930,21.84
201,72,saving,Low,short,7700000,2025-07-01,2025-09-29,EMERGENCY,3834312,49.8
202,72,spending,High,short,1000000,2025-07-01,2025-07-31,HEALTH,502988,50.3
203,73,saving,Medium,long,435960000,2025-07-01,2026-09-24,DREAM,124586028,28.58
204,73,saving,High,long,4827240000,2025-07-01,2026-10-24,FFA,1147691698,23.78
205,73,spending,High,short,1000000,2025-07-01,2025-07-31,GIVE,387462,38.75
206,74,saving,High,long,8012875000,2025-07-01,2026-12-23,FFA,1632354268,20.37
207,74,saving,Low,long,6877605000,2025-07-01,2029-02-10,EMERGENCY,759138653,11.04
208,74,spending,Medium,short,1000000,2025-07-01,2025-07-31,EDU,134183,13.42
209,75,saving,High,long,10944000000,2025-07-01,2029-08-09,EMERGENCY,3967744028,36.25
210,75,saving,High,long,1329600000,2025-07-01,2026-07-26,DREAM,186085866,14.0
211,75,spending,High,short,1000000,2025-07-01,2025-07-31,GIVE,420818,42.08
212,76,saving,High,short,23375000,2025-07-01,2026-01-27,FFA,9546112,40.84
213,76,saving,Low,short,24200000,2025-07-01,2026-04-27,LTSS,7735507,31.96
214,76,spending,High,short,3000000,2025-07-01,2025-07-31,HEALTH,1785742,59.52
215,77,saving,High,long,4946400000,2025-07-01,2029-10-08,DREAM,1487279142,30.07
216,77,saving,Low,long,2020920000,2025-07-01,2026-10-24,FFA,223829348,11.08
217,77,spending,Medium,short,2000000,2025-07-01,2025-07-31,GIVE,101864,5.09
218,78,saving,Medium,long,7395074999,2025-07-01,2027-12-18,LTSS,1587504434,21.47
219,78,saving,Low,long,5679960000,2025-07-01,2027-02-21,DREAM,1071197964,18.86
220,78,spending,Medium,short,2000000,2025-07-01,2025-07-31,PLAY,903512,45.18
221,79,saving,Medium,long,1647029999,2025-07-01,2027-07-21,DREAM,780426759,47.38
222,79,saving,Medium,short,39000000,2025-07-01,2025-10-29,EMERGENCY,20395101,52.3
223,79,spending,High,short,1000000,2025-07-01,2025-07-31,NEC,585295,58.53
224,80,saving,Low,long,3276800000,2025-07-01,2028-09-13,EMERGENCY,681908712,20.81
225,80,saving,Low,long,1448080000,2025-07-01,2028-06-15,LTSS,250592132,17.31
226,80,spending,Low,short,5000000,2025-07-01,2025-07-31,GIVE,1405307,28.11
227,81,saving,High,long,7367880000,2025-07-01,2026-12-23,DREAM,3643676968,49.45
228,81,saving,High,short,44850000,2025-07-01,2025-08-30,LTSS,20261837,45.18
229,82,saving,High,long,5935125000,2025-07-01,2030-02-05,DREAM,271530023,4.57
230,82,saving,High,long,1269375000,2025-07-01,2028-03-17,FFA,585857305,46.15
231,83,saving,Low,short,52899999,2025-07-01,2025-11-28,FFA,730870,1.38
232,83,saving,Medium,long,4538820000,2025-07-01,2026-12-23,EMERGENCY,744446390,16.4
233,83,spending,Medium,short,4000000,2025-07-01,2025-07-31,PLAY,380333,9.51
234,84,saving,High,long,9448515000,2025-07-01,2029-04-11,LTSS,787037156,8.33
235,84,saving,High,long,2985125000,2025-07-01,2027-01-22,FFA,888199797,29.75
236,84,spending,High,short,3000000,2025-07-01,2025-07-31,NEC,1454591,48.49
237,85,saving,High,short,11000000,2025-07-01,2025-11-28,DREAM,6142503,55.84
238,85,saving,Medium,short,40950000,2025-07-01,2025-11-28,LTSS,5760253,14.07
239,85,spending,Low,short,3000000,2025-07-01,2025-07-31,NEC,1535640,51.19
240,86,saving,High,long,7650720000,2025-07-01,2028-09-13,EMERGENCY,3691388595,48.25
241,86,saving,High,short,29040000,2025-07-01,2025-12-28,DREAM,14540469,50.07
242,87,saving,Medium,long,9673400000,2025-07-01,2030-06-05,EMERGENCY,92977197,0.96
243,87,saving,Low,long,6782490000,2025-07-01,2027-04-22,DREAM,2873481677,42.37
244,87,spending,Low,short,5000000,2025-07-01,2025-07-31,FAMILY,2790931,55.82
245,88,saving,High,long,4569500000,2025-07-01,2027-04-22,DREAM,1423736826,31.16
246,88,saving,Medium,long,9532680000,2025-07-01,2030-03-07,FFA,3125023702,32.78
247,88,spending,Medium,short,4000000,2025-07-01,2025-07-31,EDU,1256208,31.41
248,89,saving,Low,long,2401875000,2025-07-01,2028-01-17,EMERGENCY,1394938938,58.08
249,89,saving,High,long,6988380000,2025-07-01,2027-07-21,FFA,2913443113,41.69
250,89,spending,Medium,short,5000000,2025-07-01,2025-07-31,PLAY,1385134,27.7
251,90,saving,High,long,5673410000,2025-07-01,2029-05-11,EMERGENCY,2909263063,51.28
252,90,saving,High,long,1185750000,2025-07-01,2029-04-11,LTSS,555432336,46.84
253,90,spending,Medium,short,1000000,2025-07-01,2025-07-31,FAMILY,372669,37.27
254,91,saving,Medium,long,9343625000,2025-07-01,2029-04-11,DREAM,485289852,5.19
255,91,saving,High,short,38500000,2025-07-01,2026-03-28,LTSS,20603018,53.51
256,91,spending,Low,short,1000000,2025-07-01,2025-07-31,NEC,234006,23.4
257,92,saving,Low,long,659600000,2025-07-01,2029-05-11,EMERGENCY,83762052,12.7
258,92,saving,Medium,long,1131900000,2025-07-01,2027-11-18,DREAM,611542780,54.03
259,92,spending,High,short,2000000,2025-07-01,2025-07-31,EDU,533472,26.67
260,93,saving,High,short,10500000,2025-07-01,2025-09-29,FFA,2519865,24.0
261,93,saving,Low,long,4985500000,2025-07-01,2027-03-23,EMERGENCY,2478142083,49.71
262,93,spending,Low,short,5000000,2025-07-01,2025-07-31,FAMILY,2728862,54.58
263,94,saving,Medium,long,8546010000,2025-07-01,2030-02-05,EMERGENCY,4275712506,50.03
264,94,saving,Low,long,7854220000,2025-07-01,2030-04-06,DREAM,3936892314,50.12
265,94,spending,High,short,5000000,2025-07-01,2025-07-31,HEALTH,2757194,55.14
266,95,saving,Medium,long,3961749999,2025-07-01,2026-12-23,DREAM,1466078699,37.01
267,95,saving,High,long,8104320000,2025-07-01,2029-09-08,EMERGENCY,1749888279,21.59
268,96,saving,Medium,long,5567380000,2025-07-01,2027-09-19,LTSS,381591680,6.85
269,96,saving,Medium,long,2133599999,2025-07-01,2027-09-19,EMERGENCY,158636279,7.44
270,96,spending,Medium,short,1000000,2025-07-01,2025-07-31,PLAY,112250,11.22
271,97,saving,Low,long,5878620000,2025-07-01,2029-11-07,DREAM,2401369732,40.85
272,97,saving,High,long,7128159999,2025-07-01,2028-10-13,LTSS,4163009674,58.4
273,97,spending,Medium,short,5000000,2025-07-01,2025-07-31,EDU,734625,14.69
274,98,saving,Medium,long,5893650000,2025-07-01,2028-02-16,LTSS,3174668231,53.87
275,98,saving,Medium,long,7108560000,2025-07-01,2029-07-10,FFA,1457015085,20.5
276,98,spending,High,short,3000000,2025-07-01,2025-07-31,PLAY,663159,22.11
277,99,saving,Low,short,18150000,2025-07-01,2025-12-28,DREAM,4747746,26.16
278,99,saving,High,long,1899000000,2025-07-01,2029-06-10,EMERGENCY,109083580,5.74
279,100,saving,Low,short,57499999,2025-07-01,2025-07-31,FFA,27871307,48.47
280,100,saving,High,long,2093805000,2025-07-01,2029-04-11,EMERGENCY,406992638,19.44
281,100,spending,High,short,3000000,2025-07-01,2025-07-31,HEALTH,417327,13.91
282,101,saving,Low,long,7112290000,2025-07-01,2029-05-11,EMERGENCY,24107575,0.34
283,101,saving,Medium,long,3442500000,2025-07-01,2026-07-26,LTSS,82558880,2.4
284,101,spending,High,short,1000000,2025-07-01,2025-07-31,FAMILY,351211,35.12
285,102,saving,Medium,long,1626480000,2025-07-01,2029-09-08,FFA,47930104,2.95
286,102,saving,Low,long,5566000000,2025-07-01,2028-11-12,LTSS,135831721,2.44
287,102,spending,Medium,short,2000000,2025-07-01,2025-07-31,HEALTH,163603,8.18
288,103,saving,Low,long,6136200000,2025-07-01,2029-06-10,LTSS,2006861219,32.71
289,103,saving,High,long,1226125000,2025-07-01,2029-03-12,EMERGENCY,232914835,19.0
290,103,spending,Medium,short,5000000,2025-07-01,2025-07-31,HEALTH,1532,0.03
291,104,saving,Low,long,891000000,2025-07-01,2029-08-09,FFA,232106424,26.05
292,104,saving,Low,long,6948480000,2025-07-01,2028-10-13,LTSS,905431023,13.03
293,105,saving,Low,long,1778400000,2025-07-01,2026-09-24,DREAM,925565346,52.04
294,105,saving,Low,long,7421250000,2025-07-01,2028-02-16,EMERGENCY,956229875,12.89
295,105,spending,Low,short,4000000,2025-07-01,2025-07-31,FAMILY,2392672,59.82
296,106,saving,High,long,7243274999,2025-07-01,2028-03-17,EMERGENCY,2663834664,36.78
297,106,saving,Medium,long,6469320000,2025-07-01,2027-01-22,LTSS,3374215811,52.16
298,106,spending,Low,short,2000000,2025-07-01,2025-07-31,PLAY,304042,15.2
299,107,saving,High,long,6270250000,2025-07-01,2027-07-21,FFA,1317014403,21.0
300,107,saving,Low,short,10560000,2025-07-01,2026-01-27,LTSS,3750056,35.51
301,108,saving,Medium,long,381225000,2025-07-01,2027-02-21,DREAM,80540677,21.13
302,108,saving,Low,short,34155000,2025-07-01,2025-12-28,EMERGENCY,2015130,5.9
303,108,spending,High,short,2000000,2025-07-01,2025-07-31,PLAY,343670,17.18
304,109,saving,High,long,4480560000,2025-07-01,2028-11-12,LTSS,1961078626,43.77
305,109,saving,Low,long,6687000000,2025-07-01,2027-12-18,FFA,958972327,14.34
306,109,spending,High,short,2000000,2025-07-01,2025-07-31,PLAY,872454,43.62
307,110,saving,Low,long,4905000000,2025-07-01,2029-09-08,FFA,1065927440,21.73
308,110,saving,Medium,long,3865680000,2025-07-01,2028-06-15,DREAM,1476530280,38.2
309,111,saving,Low,long,3259200000,2025-07-01,2026-11-23,DREAM,1890889519,58.02
310,111,saving,Medium,short,67375000,2025-07-01,2026-02-26,EMERGENCY,6859950,10.18
311,111,spending,Medium,short,1000000,2025-07-01,2025-07-31,EDU,329494,32.95
312,112,saving,Low,long,251849999,2025-07-01,2028-01-17,EMERGENCY,39014034,15.49
313,112,saving,Low,long,4296000000,2025-07-01,2028-03-17,LTSS,1921273597,44.72
314,112,spending,Medium,short,4000000,2025-07-01,2025-07-31,EDU,1901033,47.53
315,113,saving,Medium,short,36960000,2025-07-01,2026-05-27,FFA,10183775,27.55
316,113,saving,High,long,1246700000,2025-07-01,2026-12-23,LTSS,627248760,50.31
